definition,answer,occurrences,example_clue,approve
structural,ORGANIC,1,Structural failing in cargo,
structure,HILLFORT,1,Thrill of breaking defensive structure,
student group,SEMINAR,1,Student group remains baffled,
student once,ALUMNA,1,Engineering manual for student once,
students ritually find,LITURGIOLOGISTS,1,Students ritually find riotous gig still rocking,
study expert,ASTRONOMERROYAL,1,Early moon or star motion study expert,
stuff,BITS AND PIECES,1,Clumsily ban pesticides and stuff,
stuff,SATIN,1,It's an odd sort of stuff,
stuff,FELT,1,Stuff that's left out,
stuff taken,VELOUR,1,Stuff taken from the refurbished Louvre,
stuffing,FORCEMEAT,1,Come after mixing the stuffing,
stuffing's knocked,FORCEMEAT,1,Stuffing's knocked out of meercat,
stylized language,EUPHUISM,1,"Stylized language I use with umph, bizarrely",
subject,ARITHMETIC,1,Subject I’m chattier about,
subordinate role,SECONDFIDDLE,1,Scolded fiend playing subordinate role,
substance injected,ANTISERUM,1,"Substance injected, it's manure, unfortunately!",
succeeded,CAMETOTHETHRONE,1,Succeeded with the one act mother produced,
successful,OFNOAVAIL,1,"Horribly vain and aloof, but not successful",
such eggs,UNHATCHED,1,Such eggs a Dutch hen abandoned?,
such elements,RAREEARTH,1,Such elements are rather confused,
such food's,INORGANIC,1,Such food's origin can be suspicious,
such gardens,BOTANICAL,1,Such gardens give trouble to Caliban,
such gentlemen,SIGNORI,1,Such gentlemen as have origins abroad?,
such hair,PEPPER-AND-SALT,1,Such hair appals — pretend that's fashionable,
such heat,TROPICAL,1,"Crop tail, suffering in such heat",
such illustrations,UNDRESSED,1,Sends rude novel — with such illustrations?,
such instruments,MICRONEEDLES,1,Declines more treatment with such instruments,
such objections,IFSANDBUTS,1,Bind us fast — demolish such objections,
such purgatives,EVACUANTS,1,"Such purgatives use ""Vacant"" indicators",
such reactionary opinions,DYEDINTHEWOOL,1,Such reactionary opinions of noted oldie: why change?,
such transparency,GLASNOST,1,Such transparency is not made with glass,
such unity,ONENESS,1,Such unity could make no sense,
sucker,ANTLIA,1,"A Latin translation of ""sucker""",
sudden attack,BLITZKRIEG,1,Sudden attack of glitz biker disrupted,
sudden overthrow,COUPDETAT,1,"Sudden overthrow, so pact due to change",
sufficient land,HECTARE,1,Sufficient land for the race training?,
suggestion,HYPNOSIS,1,Deployed spy on his suggestion,
suggestions,INNUENDOES,1,Unions need new suggestions,
suicide,FELODESE,1,Doctor does feel it's suicide,
suit me,ORATOR,1,To roar out? That could suit me,
summarily flaunting,BREVI MANU,1,Summarily flaunting bum in rave,
summer,UNSEASONAL,1,A lean sun so unexpectedly odd in summer?,
sumptuous,ORNATE,1,O! Aren't bananas sumptuous?,
sums up,AGGREGATES,1,Sums up the scrambled egg as great,
sun,NEWSHOUND,1,From sundown he could work on the Sun,
sunbathe,APRICATE,1,"Sunbathe, maybe at a price",
super hearing,CLAIRAUDIENCE,1,Super hearing about Euclidian acre,
superficial,FRIVOLOUS,1,Superficial fool with virus flounders,
superficial,OSTENSIBLE,1,Superficial snobs mingled with elite,
superficial courtesy,POLITESSE,1,Superficial courtesy poet's lies ruined,
superficially attractive,TINSELLY,1,"Still, yen in exchange is superficially attractive",
superior,AIRDROP,1,Superior aid distribution or rapid transport,
superior,TRANSCENDENTAL,1,Superior switches and lanterns etc,
superlatively spotless,WHITEST,1,"Superlatively spotless, this wet ground",
superman's creator,NIETZSCHE,1,Superman's creator reorganising Zen ethics,
supple,LISSOM,3,Could be so slim and supple,
supplying food,PROVISIONING,1,Supplying food for virgin mixed with poison,
support,FINANCIALAID,1,Support Finland with AI CIA supply,
support facility,DAY-CARE CENTRE,1,Re-enacted racy plays in support facility,
supporter,PICTUREMOULDING,1,Supporter of images created by computer in guild,
supporter does,LIFTANDSEPARATE,1,"Supporter does, as fan letter paid off",
supporting justice,RIGHTEOUS,1,Supporting justice is tougher unfortunately,
supports,TRESTLES,1,Supports organised settlers,
supports,ENDORSES,1,Supports one with dress in disarray,
supposedly calm spot,MONASTERYGARDEN,1,"Supposedly calm spot turned out nasty, with more danger",
supposedly conservative,BLUE RINSE,1,"Supposedly conservative style of rebel in US, possibly",
supposedly dangerous situation,BERMUDATRIANGLE,1,Supposedly dangerous situation that could make Guardian trem,
"supposedly invisible bomber, though",STEALTH,1,"Supposedly invisible bomber, though the last crashed",
supposedly never available,AFREELUNCH,1,Unreal chef cooked something that's supposedly never availab,
supposedly soothing entertainment,BACKGROUNDMUSIC,1,"Dumb rock causing upset, supposedly soothing entertainment",
suppresses,KNOCKSONTHEHEAD,1,"Suppresses non-task - he choked, possibly",
sure,NODOUBT,1,"Bound to change, to be sure",
surface,EPIDERMAL,1,Male pride damaged on the surface,
surface defect,POTHOLE,1,Surface defect ruined the Polo,
surface film,PATINA,1,Surface film made from a paint,
surgical equipment,LASER,1,Mad Lear's surgical equipment,
surgical procedure,LIPOSUCTION,1,Surgical procedure wasted copious lint,
surgical surfaces,OPERATINGTABLES,1,Surgical surfaces somehow obliterate pangs,
surreptitiously,PEKE,1,Peek surreptitiously,
sustained tone,PEDALPOINT,1,Sustained tone not applied in composition,
swaggering three musketeers' cry,SACREBLEU,1,Cruel base swaggering Three Musketeers' cry?,
swapped wife,BARTEREDBRIDE,1,Swapped wife for red deer and rabbit?,
swapping ends,ENCODES,1,Swapping ends once Des scrambles,
swarm,INFESTATION,1,"Swarm of relaxed, fit Etonians",
sway,OSCILLATE,1,Tesla coil specially designed to sway,
sweater,PRINCEANDREW,1,"Nerd with new Capri pants, not a sweater?",
sweating,SUDORAL,1,Our lads afflicted with sweating,
swedish girl,INGA,1,Order a gin for Swedish girl,
swedish player,GRETAGARBO,1,"Train Borg, a great Swedish player",
sweeping,GENERALISATION,1,"It could be eaten sailing, or it could be sweeping",
sweet,DESSERTWINE,1,Horribly westernised drink that's sweet,
sweet,ETON,1,Sweet tone?,
sweet,CLOOTIE DUMPLING,1,Sweet logic on diet – plum duff!,
sweet,FRUITCOCKTAIL,1,Sweet talk of circuit training,
sweet,FRUITPIE,1,"Sweet, pure if it is cooked",
sweet filling,GANACHE,1,Change a nasty sweet filling,
sweet products,CONFECTIONERIES,1,"Sweet products in set, refine Coco Pops",
sweetener,SACCHARINE,1,Criminal in car chase looking for sweetener,
sweetener,LAEVULOSE,1,Sweetener might lose value,
sweeter,CARAMELISING,1,"Magical resin cooked, becoming sweeter",
sweetheart,DULCINEA,1,Sweetheart clued in a different way,
swerving vehicle,STEAMCAR,1,Scream at swerving vehicle,
swimmer,TREVALLY,1,"Very tall, awkward swimmer",
swimmers identified,STONEFISH,1,"Swimmers identified by those fins, possibly",
swimwear,BATHINGCOSTUMES,1,Chums in boats get changed into swimwear,
switzerland,GENEVA,1,Avenge upset in Switzerland,
swordsman's call,ENGARDE,1,"Agitated, enraged swordsman's call",
sympathetic sound,RESONANCE,1,Sympathetic sound conveyed on a screen,
syndicates,CONSORTIA,1,Cartoon is about syndicates,
synthetic blades,ASTROTURF,1,Start with four cracks in synthetic blades,
synthetic drugs,HYPNOTICS,1,Synthetic drugs are perhaps not physic,
system,TRANSMISSION,1,Trains miss out on delivery system,
system? hardly,CAPITALISM,1,Plastic aim destroyed the system? Hardly!,
table,EATING,1,Get in a flap at the table,
tactic,SABOTAGE,1,Boast about age as a spoiling tactic,
take,TRANSCRIBE,1,Take down crest in bar after a revolution,
take,CONFISCATE,1,"Take off accent, if so",
take,EXERTONESELF,1,"Take the trouble to note reflexes, perhaps",
take,RIFLE,1,Take from stricken flier,
take again,REOCCUPY,1,Copy cure in order to take again,
take centre stage,STEALTHESHOW,1,Who else that's prepared to take centre stage?,
take charge,DEIONISE,1,"Training one side, I take charge?",
take one's breath away,ASTHMA,1,A maths problem to take one's breath away,
taken,SOLDAPUP,1,Taken in for a fantastic slap-up do,
taken suddenly,SNAP DECISION,1,"Struggling since, son paid for action taken suddenly",
taken up,UNASCENDED,1,Nude dances unfortunately not taken up,
taken without permission,TROUSERED,1,Dodgy red routes taken without permission,
takes,IMITATES,1,Takes off meat —  it is cooked,
taking,TIGHTENING,1,Taking in tenth gig in ground,
taking broader views,WIDE-ANGLE,1,We aligned with movement taking broader views,
taking office,ACCESSION,1,Taking office in so scenic a complex,
taking pictures,ARTTHIEF,1,Fire that awful person taking pictures,
tales,IDYLLSOFTHEKING,1,Tales about knight's folly? Die!,
tank having larger dimensions than normal,QUEEN-SIZE,1,Squeeze in to tank having larger dimensions than normal,
tanners laid,SUNBATHERS,1,Tanners laid out for tan brushes,
tantalising exhibition,STRIPTEASE,1,Tantalising exhibition of foreign tapestries,
tanzania,SERENGETI,1,Green site building in Tanzania,
tap,TEA URNS,1,Nature's resorts – they supply drinks on tap,
tapestries,OUDENARDES,1,Resounded with a weaving of tapestries,
tart,TREACLE,1,Electra cast as a tart?,
tasks,VERSATILE,1,Reveal it's tricky adapting to different tasks,
tasmanian pet should,ECHIDNA,1,"Tasmanian pet should be chained, as devilish",
tasty,ECLAIR,1,Tasty treat it's clear I demolished,
tasty singer,MEATLOAF,1,"Tasty singer finding fame with alto, rocking",
tax,STEALTH,1,The last way to tax?,
taxes people,INLAND REVENUE,1,A run enlivened with changes taxes people,
teachers,EDIFIERS,1,Teachers' fire dies out,
team,BOLTONWANDERERS,1,Team is disorganised - Brown's not leader,
tearaway,RANTIPOLE,1,Tearaway leapt in or out,
teasing,FLIRTATIOUS,1,Teasing suitor with a lift,
tech device,SMARTPHONE,1,MPs messed around with another tech device,
teetotaller,RECHABITE,1,A beer chit destroyed by teetotaller,
teetotallers,ABSTAINERS,1,Teetotallers ordering teas in bars,
tell me more,ELABORATE,1,Is it eatable or for cooking? Tell me more,
tell temperature,FAHRENHEITSCALE,1,Nice flat here has strange way to tell temperature,
telltale,RACONTEUR,1,Telltale disturbance of our trance,
temperature,CENTIGRADE,1,Possibly cited range of temperature,
temporal regulator,ESCAPEMENT,1,MEP can't see new temporal regulator,
temporary staff member’s,SUPPLYTEACHER,1,Temporary staff member’s happy lectures stimulated,
temporary structure,NISSENHUT,1,Temporary structure in the Sun's building,
tempt,DANGLE,1,Tempt poor Glenda,
tempted fish,ANGLEWORM,1,It could turn out to be wrong meal — for tempted fish!,
tenacious climber found,CLEMATIS,1,Tenacious climber found in a variety of climates,
tenancy agreement constitutes,LEASEHOLD,1,Tenancy agreement constitutes all he does,
tennis player,MARTINA,1,Am about to train extraordinary tennis player,
terminated,DREWTOACLOSE,1,"Terminated, so two cleared off",
termite,WHITEANT,1,"Oddly, I want the termite",
terms,AGREE,1,Strangely eager to come to terms,
terriers,PITBULLS,1,Terriers in pub still running amok,
terrifying police officers,GESTAPO,1,Postage reforms terrifying police officers,
test,LITMUSPAPER,1,Put a simpler form of material for test,
testes,WITNESSES,1,"""Testes"" in translation, producing ""sweet sins""",
testimony,CREDENTIAL,1,Cretan lied appallingly in testimony,
tetchy,ATRABILIOUS,1,Tetchy characters from Austria boil,
thanks,HARVESTFESTIVAL,1,"Thanks for gathering a velvet starfish, maybe",
theatre,THECRUCIBLE,1,Electric Hub variety theatre,
theatre,COLISEUM,1,Music Leo composed for the theatre,
theatre,HAYMARKET,1,Key art ham displayed in theatre,
theatre,SHELDONIAN,1,Theatre play is on Handel,
theatre,DRURYLANE,1,Rudely ran off to the theatre,
theatre workers,STAGEHANDS,1,Doctors tend gash as theatre workers,
theatrical character who,HEDDAGABLER,1,Theatrical character who had large bed prepared,
theatrical feature,PROSCENIUM,1,Music prone to blast in theatrical feature,
theatrical performance,PANTOMIME,1,Main tempo disrupted in theatrical performance,
their lustre,TARNISHED,1,Threads in fashion lost their lustre?,
their own territory,FRENCH POLYNESIA,1,Francophiles' yen to develop their own territory?,
their paperwork,EDITORS,1,"So tired, shattered by their paperwork?",
their sanity,NUTCASES,1,They make scant use of their sanity,
their trailer,BOUNTYHUNTER,1,On run? But they rent their trailer,
their wonderful music-making,MAESTRI,1,Freely I stream their wonderful music-making,
them,EMIGRES,1,Might crooked regimes produce them?,
them,AGREEMENTS,1,Mere agents could make them,
them,METAPHORS,1,Tom Sharpe employed them,
them,REDACTIONS,1,Editors can make them,
them,NOTARIES,1,Senorita in trouble might turn to them,
then relax,LETONESHAIRDOWN,1,"Shoot winner with lead excitedly, then relax",
theodoric,OSTROGOTH,1,"Theodoric, perhaps, got shot or chopped to bits",
there's,NOT A CHANCE,1,There's no way he can act on broadcast,
there's glitter,GARISHNESS,1,There's glitter as she rings off,
there's still hope,ALLISNOTLOST,1,Install tools following crash: there's still hope,
there's sustenance when,NUTRITION,1,There's sustenance when I turn into bananas,
these,ASTROLOGISTS,1,Solarists got confused with these?,
these,TONGUETWISTERS,1,"Stuttering, so we mangled  these?",
these,HYSTERICS,1,Sit and cry – he's suffering these?,
these,LAOTIANS,1,These could be Asian lot,
these,PIANOFORTES,1,Tap for noise playing these,
these,INFOMERCIALS,1,Are film icons pitching in these?,
these,STAGEDIRECTIONS,1,Actors inside get moving with these,
these,OCTAHEDRA,1,"These solid figures heard Cato, perhaps",
these beds need remaking,STRATA,1,"For a start, these beds need remaking",
these choir members,TENORS,1,No rest in assembly for these choir members,
these don't agree,NOES,1,Ones needing reform? These don't agree,
these groups,SUBGENERA,1,Bear genus could be broken down into these groups,
these machines,ONEARMEDBANDITS,1,Barmaids need not give change for these machines,
these protective garments,OILSKINS,1,No silk is used in these protective garments,
these receivers,EARPHONES,1,These receivers used one phrase,
these republicans,REAGANITES,1,"Gee, Sinatra excited these Republicans!",
these second-hand vehicles,USEDCARS,1,Sure cad's rebuilt these second-hand vehicles,
these shores,ENGLISH,1,Loose shingle from a part of these shores,
thespian,HISTRIONIC,1,Thespian in historic play,
they'd,PIRATES,1,They'd ruin sea trip?,
they'll complain,MOANERS,1,"Trained oarsmen, they'll complain",
they're,AMERICANS,1,They're a blend of the main races,
they're americans,NEWMEXICANS,1,Six men we can corrupt; they're Americans,
they're continually assessed,TAXPAYERS,1,"Playing a sexy part, they're continually assessed",
they're extinct,MASTODONS,1,They're extinct and so most unfit,
they've had 13 across 22 across,EMIGRANTS,1,Garments I altered — they've had 13 across 22 across,
they've no backbone,ARTHROPODS,1,Troops hard to move — they've no backbone,
thickly covered,CAKEDON,1,Thickly covered in rum and coke,
thin,RAREFIED,1,Thin crackers are fried,
thin runner,GREYHOUND,1,Enough dry ground for a thin runner,
thingummy,WHATNOT,1,Thingummy that now needs repairing,
thingummy,DOOBRY,1,Foreign body or thingummy,
thingummybob,WHATNOT,1,Now that could be a thingummybob!,
think logically,RATIOCINATE,1,Think logically about broadcast — air it at once!,
thirst,EAGERNESS,1,Green seas produce thirst,
thomas’s predecessor,GARETH,1,Gather nuts for Thomas’s predecessor,
thorough awareness,EXPERTISE,1,Thorough awareness of disorderly peers' exit,
those,TOURGUIDES,1,Those turned out in Tudor guise?,
those accompanying bird jazzed up,ROAST POTATOES,1,Those accompanying Bird jazzed up operas and tattoos,
those getting hot,AMORISTS,1,Those getting hot as I storm off,
those holding up bar,GOALPOSTS,1,Those holding up bar in Lagos stop running,
those inherited,STEPFAMILY,1,Those inherited after a break-up in my past life,
those making,ORGANISERS,1,"Those making arrangements of rare songs, I suspect",
those overweight,DIET,1,Might it turn the tide for those overweight?,
those staying up late,NIGHT OWLS,1,Light snow worried those staying up late,
those supporting choppers,PROPELLERS,1,Sell proper pants (those supporting choppers?),
those who enjoy food available,EPICURES,1,Those who enjoy food available from US recipe,
those who mesmerize,HYPNOTISTS,1,Those who mesmerize pythons sit uneasily,
though,INTERESTED,1,"Though concerned, possibly resented it",
though lacking majority,UNDERAGE,1,"UN agreed resolution, though lacking majority",
thought seriously,CONCENTRATED,1,Thought seriously about ten Cretan cod,
thought transference,TELEPATHY,1,Yet help at broadcast of thought transference?,
threat,NEMESIS,1,Threat of this makes sin seem dodgy,
three american points,FIELD GOAL,1,"Three American points for this in gold leaf, I gathered",
three sides,TRIANGULAR,1,Giant rural building with three sides,
thrifty shopper,BARGAINHUNTER,1,"Thrifty shopper unearthing bra, pants",
thriller writer's,DEIGHTON,1,Thriller writer's novel The Dingo,
thrilling activity,HEROICS,1,Chore is transformed into thrilling activity,
thrills,INTOXICATES,1,Wild excitations and thrills,
through drooping lids,SLEEPILY,1,Doctor eyes pill through drooping lids?,
through how much,ANARMANDALEG,1,"Outrageous gel, Amanda! Ran through how much?",
thus involving risk,PRECARIOUSLY,1,Roy's peculiar arrangement thus involving risk,
ticker tape,CARDIOGRAM,1,Chaotic drama with corgi and ticker tape,
tidal conditions,STORMSURGE,1,Rogers must design for adverse tidal conditions,
tidily,NEATLY,1,Lay net out tidily,
tighten belt,TRIM ONE'S SAILS,1,Tighten belt and pants as tenor is slim,
timber,SKID ROAD,1,Odd risk to run over a way to move timber,
timber reordered,EBONY,1,Timber reordered by one,
timber supplier,CEDARTREE,1,EEC trader upset timber supplier,
timed,INOPPORTUNE,1,Stewed prune option is badly timed,
time-honoured substitute,AGEOLD,1,Time-honoured substitute for gaoled,
timekeeper,CLEPSYDRA,1,Dry places damaged this timekeeper,
timekeeper,BIGBEN,1,Timekeeper for ebbing process,
timorous,FAINTHEARTED,1,A friend at the gathering appears timorous,
tipped,FOREWARNED,1,Tipped off about Farrow and Eden?,
tissue,CARTILAGINOUS,1,Resolved actual origins of body tissue,
titleholder,PROPRIETOR,1,"Titleholder is Perot, prior to change",
tittle-tattle,IDLEGOSSIP,1,Pigs soiled wrongly by tittle-tattle,
titular shakespearean character,CRESSIDA,1,Is scared to play titular Shakespearean character,
titus went,OATES,1,Titus went off to sea,
toff,EARL,1,Upset real toff,
together,ENLACED,1,Cleaned out and tangled together,
toiletries,LIPSALVES,1,A VIP sells assorted toiletries,
toiletry,HANDCREAM,1,Toiletry can harm Ed badly,
tolerably recompensed,MIDDLEINCOME,1,Tolerably recompensed men domiciled abroad,
tollgate,TURNPIKE,1,Tollgate muddled up tinker,
tom,EDGAR,1,Raged about poor Tom,
tom collins,NAMES,1,"""Tom Collins"" means cocktail",
tonga,FRIENDLYISLANDS,1,"Finds Des in rally, travelling around Tonga",
tongue,SESOTHO,2,Soothes twisted tongue,
tongue,HINDUSTANI,1,Danish unit translated into another tongue,
tongue,BENGALI,1,Tongue twister for Belgian?,
tongue,LINGUAL,1,Gull in a twist of a tongue,
tongues,SPANGLISH,1,"Tongues entwined, splashing around",
tongues entwining,FRANGLAIS,1,"A fan with girls excited, as tongues entwining?",
too far-fetched,IMAGINABLE,1,Big AA Milne novel not too far-fetched,
too late,NOTINTIME,1,Doctors mention it too late,
too much,OVERREACTION,1,"In Venice, orator rambling: it’s too much",
too much,IMMODERATELY,1,Too much for May term I dole out,
took,SATIRISED,1,"Took off tired, as is confused",
"took notice, got",LISTENED,1,"Took notice, got drunk, enlisted",
tool,COPY-AND-PASTE,1,Notepad's pacy new IT tool,
tool,PINCERS,1,Tool for prince's use,
top american player,STREEP,1,Stupidly pester top American player,
"top church job, making",METROPOLITANATE,1,"Top church job, making tea - optional term",
top lawyer,ATTORNEYGENERAL,2,Top lawyer organised an orgy with teen later,
top man,GENERALISSIMO,1,Top man realising some changes are required,
top military officer,FIELD MARSHAL,1,Flash Daimler constructed for top military officer,
top politicians,FRONTBENCHERS,1,"Top politicians, decadent French-born set",
top scorer's,VERDI,1,Top scorer's off drive,
top? no,WITHINREASON,1,In war one's hit easily going over the top? No,
topcoat,ULSTER,1,Replaced result in topcoat,
topper,SILKHAT,1,Topper recollected his talk,
topper finds,SILKHAT,1,Topper finds his talk is rambling,
topping gag inducing,GALLOWSHUMOUR,1,"Topping gag inducing low, glum, sour 'Ha!'",
torpedo carrier,EBOAT,1,Constructed to be a torpedo carrier,
torpedo carriers,EBOATS,1,Torpedo carriers ordered to base,
tory-liberal,CONSERVATIVE,1,"Tory-Liberal, not vice versa",
toss-up,ANYBODYSGAME,1,"So began my day, unpredictably: it’s a toss-up",
total triumph when,COMPLETEVICTORY,1,"Total triumph when, by arrangement, I met cop covertly",
totally clear,SEMITRANSPARENT,1,A tipster's manner is confused and not totally clear,
tottering one who cometh,ICEMAN,1,In came tottering one who cometh,
touch,INCOMMUNICADO,2,Funny man in comic duo is out of touch,
touched butt,AUNTSALLY,1,Lusty Alan touched butt,
tough policy,HARDLINE,1,Tough policy on complicated land hire,
tourist attraction,BEAUTYSPOT,1,Boy upset at vandalised tourist attraction,
towel,DESPAIR,1,Padre is about to throw in the towel,
tower bridge,BASCULES,1,Seal cubs swimming around parts of Tower Bridge?,
town,ALDERSHOT,1,Other lads around town,
town,MUNICIPAL,1,I clam up in strange town?,
town,UPTRAIN,1,Puritan unexpectedly going to town,
town,STASAPH,1,Pa's hat's new in town,
town,TAMWORTH,1,That worm turns in town,
town,ABINGDON,1,Town and no big deal,
town,STAINES,1,Town is set an odd problem,
toxic chemical storage facility,POISON GLAND,1,Lad snooping around toxic chemical storage facility,
toxin,CYANIDE,1,Decay in waste producing toxin,
traditional christmas food,MINCE PIES,1,Traditional Christmas food specimen I prepared,
traditional food,ROAST BEEF,1,Traditional food and beer fatso ordered,
traditional grub,TOADINTHEHOLE,1,Entitled hoo-ha about traditional grub,
traditional meal,ROASTBEEF,1,Traditional meal of boar's feet prepared,
traditional organs etc,MAINSTREAM MEDIA,1,"Me? I'm a tradesman, I cast traditional organs etc",
traditional scalar structure,DORIANMODE,1,Made do with iron arrangement for a traditional scalar struc,
traffic,CARSICK,1,Is crack badly affected by movement of traffic?,
traffic offence misusing,DOUBLE PARKING,1,"Traffic offence misusing kerb, loading up",
traffic regulator,POINTSMAN,1,Tom in snap resolution becomes a traffic regulator,
trailer,DAWDLER,1,Bad lad drew trailer,
trailer park,CARAVAN SITE,1,"Terrible rains, vacate trailer park",
trainee,NEOPHYTE,1,"Trainee mobile phone, yet complicated",
trainers,ESPALIERS,1,Shift lies with spare trainers,
trampling underfoot,GRAPESOFWRATH,1,Throw spare fag out for trampling underfoot,
transcontinental location,ISTANBUL,1,"Transcontinental location, a Butlins resort",
transgress,OVERSTEP,1,Repairing vest with rope is to transgress,
transportation,INTERPOL,1,Global force in petrol for transportation,
transportation,FAREDODGER,1,Degrader of transportation?,
traveller,LOADSTAR,1,Last road designed to aid the traveller,
traveller,ASTRONAUT,1,Traveller going for tour with Satan,
tree,DOUGLASFIR,1,Flora is dug out to identify tree,
tree,SANDARAC,1,Dana's car crashed into tree,
tree,CITRUS,1,Misshapen rustic tree,
tree,BRISTLECONEPINE,1,Various beetles in crop and in tree,
trees,LABURNUMS,1,Trees transform urban slum,
triangles etc,PERCUSSION,1,Supersonic shifts in triangles etc,
trickster realises,PRESTIDIGITATOR,1,Trickster realises God is tripartite,
triggers complaint,LEAD POISONING,1,Oedipal song in broadcast triggers complaint,
trivial importance,IOTA,1,I turn to a matter of trivial importance,
trojan,TEUCRIAN,1,Trojan exchanged in a truce,
troops secured,PRISONERS OF WAR,1,Troops secured a row for snipers somehow,
tropical growth,RAINFOREST,1,Terrains of extraordinary tropical growth,
tropical tree,ROYALPALM,1,Moral play about tropical tree,
troublemaker's,DENNISTHEMENACE,1,Troublemaker's unusual he-man tendencies,
troubling,ELEARNING,1,"Troubling, in general",
"troubling native far, far away",ANTIPODEAN,1,"A noted pain troubling native far, far away",
trounced,MASSACRED,1,"Trounced, using same cards but in different order",
trucker's favourite,GREASYSPOON,1,"Trucker's favourite person's Goya, surprisingly",
true-to-life,REALISTIC,1,True-to-life articles I reviewed,
true-to-life,NATURALISTIC,1,True-to-life representation of acts in ritual,
trumpton's brass band,FIREBRIGADE,1,A brief dirge composed for Trumpton's brass band,
trustworthy,CREDITABLE,2,Trustworthy ID bracelet developed,
tubular operation,EXTRUSION,1,Tubular operation is our next resort,
tumble-dry,ATHIRST,1,Shirt at tumble-dry,
turk who,JANISSARY,1,"Turk who served rum in jars, say",
turkish inn,SERAI,1,Raise rent for Turkish inn,
turner,DOORKNOB,1,Rotten book on Dr Turner,
turn-up,SPEAKOFTHEDEVIL,1,"Festive polka he'd danced, an unexpected turn-up",
tv series,YESMINISTER,1,Strange mysteries in TV series,
tv show,THETRAITORS,1,TV show that rioters condemned,
tv show,KILLINGEVE,1,I'll give Ken hit TV show,
twigs,OSIERS,1,Rosie's twisted twigs,
twinkle,AGLIMMER,1,Arm and leg I'm breaking with a twinkle,
twirled cigar,STOGIE,1,Egoist twirled cigar,
twitcher,FIDGET,1,Twitcher is strangely gifted,
two performers,PANTOMIMEHORSE,1,Playing in the Proms - one aim for two performers?,
two-fold dissembling,BINARY,1,Two-fold dissembling by Iran,
typical,BEANPOLE,1,Typical model openable with training,
typical quirks,MANNERISMS,1,Comical as in Mr Men's typical quirks,
tyrant,PERSECUTOR,1,Tyrant developed our respect,
tyres,RETREADS,1,Arrested over kind of tyres,
tyres,INTERMEDIATES,1,Trainees timed changing tyres,
u.s,EASTOFEDEN,1,U.S. novel in translation defeats one,
uk fuel,NORTH SEA GAS,1,UK fuel shortages needing an alternative,
ulster,ANTRIM,1,Martin served in Ulster,
ultimately,IN THE END,1,Need thin pants ultimately,
umbrian,SAINTFRANCIS,1,Umbrian master in crafts as in order,
unabashed,ASBOLDASBRASS,1,"Salad bar's boss, awfully unabashed",
unabridged,IN TOTAL,1,"Unabridged, translated to Latin",
unaccompanied song,MADRIGAL,1,Unaccompanied song disturbed girl with Adam,
unaccountable quality,INEXPLICABILITY,1,Icily explain bit about unaccountable quality,
unbelievable,SHEESH,1,"He's confused, he's disorganised — that's unbelievable!",
uncaring workplace,SALTMINE,1,Ill-treated ailments in uncaring workplace,
uncertainty,HESITANCE,1,Uncertainty at Chinese transformation,
"uncommonly loud, making",STENTORIAN,1,"Uncommonly loud, making it resonant",
uncompromising,RELENTLESS,1,"Uncompromising sellers, ten crooked",
uncooperative,REFUSENIK,1,Uncooperative individual fires nuke off,
under me,ESPALIER,1,Rotten pears lie under me,
understanding,INTELLECT,1,Let client supply understanding,
understanding,KNOWLEDGE,1,Old keg treated with new understanding,
underwear,PANTYHOSE,1,Honest pay for modelling underwear,
underworld boss,GODFATHER,1,Had to forget about the underworld boss,
undisciplined banker,SEVERN,1,Verne's undisciplined banker,
undistinguished,UNNAMED,1,Undistinguished and mundane assembly,
undoubtedly,FORCERTAIN,1,Doubtful refraction? Undoubtedly!,
unemployable,OFNOUSE,1,One of us turns out to be unemployable,
unequal,LOPSIDED,1,Did slope make play unequal?,
unequal social footing,MORGANATIC,1,A rat coming out on an unequal social footing,
unexceptional,MIDDLEOFTHEROAD,1,Motorhead fiddle playing is unexceptional,
unfair appearance,UGLINESS,1,Single us out for unfair appearance?,
unfair claiming,ARROGATION,1,"Unfair claiming giro, rat on a suspect",
unfair wordplay,SPOONERISM,1,Promises no unfair wordplay,
unfavourable circumstance,DISADVANTAGE,1,Dads navigate strangely unfavourable circumstance,
unfavourable circumstances,DISADVANTAGED,1,Treat dad gave - and it's in unfavourable circumstances,
unfermented grape juice,STUM,1,Must stir unfermented grape juice,
unfinished,INCHOATE,1,Unfinished work on the CIA,
unforeseen,UNIMAGINED,1,"I'm nude, with a gin, dancing: that's unforeseen",
unhappiness,INFELICITY,1,Unhappiness in City life to be turned around,
unhelpful reply,ADUSTYANSWER,1,Unhelpful reply was rude and nasty sadly,
unhurried,MEASURED,1,Made sure composition was unhurried,
uniform,PLAINCLOTHES,1,Variation in phone call - it's not uniform,
unintended,COLLATERAL,1,Unintended consequences of local alert,
unintentionally reveal,LETSLIP,1,Unintentionally reveal something? Spell it out!,
uninterested,LANGUID,1,Uninterested in lauding bananas,
unirotational gear,RATCHET,1,Chatter wrecked unirotational gear,
unit,HECTARE,2,Unit teacher revised,
united,JOINEDFORCES,1,Jocose friend trashed United,
university governors,SENATE,1,A tense assembly of university governors,
"unjustified, being",WRONGFUL,1,"Unjustified, being worn out with Gulf problem",
unknown,ACLOSEDBOOK,1,Bold sea cook creating something unknown,
